x,y
375.0,-1220.0
430.0,-879.0
320.0,-999.0
414.0,-721.0
342.0,-1188.0
-346.0,-584.0
338.0,-1183.0
477.0,-1226.0
387.0,-1213.0
377.0,-1221.0
448.0,-914.0
368.0,-763.0
392.0,-769.0
393.0,-766.0
390.0,-770.0
308.0,-833.0
371.0,-841.0
387.0,-770.0
334.0,-1108.0
-340.0,1511.0
397.0,-1050.0
331.0,-1171.0
330.0,-1171.0
329.0,-971.0
474.0,85.0
418.0,-881.0
445.0,-880.0
416.0,-878.0
338.0,-1179.0
392.0,-865.0
285.0,-815.0
402.0,-767.0
354.0,-1190.0
382.0,-1223.0
236.0,-1026.0
287.0,-815.0
191.0,-961.0
339.0,-1179.0
333.0,-1120.0
303.0,-817.0
260.0,-803.0
264.0,-818.0
428.0,-715.0
275.0,-995.0
298.0,-954.0
434.0,-803.0
192.0,-1037.0
298.0,-958.0
393.0,-768.0
278.0,-828.0
414.0,-996.0
277.0,-815.0
304.0,-872.0
328.0,-971.0
378.0,-1223.0
515.0,-1.0
335.0,-1124.0
397.0,-864.0
341.0,-1184.0
430.0,-882.0
336.0,-1123.0
335.0,-1122.0
357.0,1397.0
337.0,-844.0
394.0,-768.0
370.0,-947.0
400.0,-861.0
334.0,-1115.0
381.0,-1223.0
340.0,-1181.0
285.0,-825.0
376.0,1270.0
426.0,-878.0
351.0,-1095.0
352.0,-1067.0
374.0,-1220.0
328.0,-1170.0
391.0,-946.0
339.0,-842.0
410.0,-741.0
404.0,-800.0
476.0,-1222.0
446.0,-925.0
285.0,-818.0
264.0,-801.0
283.0,-815.0
375.0,-1223.0
367.0,-1082.0
427.0,-706.0
557.0,375.0
-229.0,-432.0
373.0,-1219.0
263.0,-803.0
261.0,-801.0
423.0,-711.0
300.0,-901.0
392.0,-767.0
385.0,-1217.0
-340.0,1510.0
397.0,-836.0
387.0,-906.0
-338.0,1512.0
477.0,-1220.0
340.0,-1184.0
257.0,-803.0
287.0,-812.0
388.0,-775.0
280.0,-828.0
350.0,-853.0
401.0,-753.0
341.0,-1183.0
342.0,-1183.0
283.0,-814.0
427.0,-711.0
415.0,-819.0
422.0,-721.0
351.0,-1067.0
339.0,-1181.0
401.0,-754.0
337.0,-1173.0
260.0,-801.0
375.0,-1222.0
334.0,-1124.0
300.0,-902.0
-253.0,-520.0
365.0,-1217.0
516.0,51.0
381.0,-1205.0
423.0,-880.0
360.0,1401.0
361.0,-942.0
455.0,-736.0
451.0,-930.0
329.0,-961.0
418.0,-883.0
-368.0,1748.0
-353.0,1491.0
387.0,-875.0
342.0,-779.0
462.0,-1191.0
340.0,-1174.0
387.0,-1212.0
395.0,-745.0
399.0,-754.0
489.0,24.0
336.0,-1177.0
419.0,-724.0
454.0,-1227.0
434.0,-882.0
362.0,-1151.0
338.0,-787.0
324.0,-807.0
390.0,-775.0
279.0,-825.0
410.0,-729.0
331.0,-976.0
425.0,-711.0
408.0,-740.0
372.0,-1137.0
415.0,-877.0
392.0,-1068.0
390.0,-766.0
405.0,-786.0
415.0,-739.0
396.0,-1058.0
403.0,-831.0
340.0,-1179.0
395.0,-1060.0
258.0,-802.0
387.0,-1208.0
389.0,-1211.0
416.0,-713.0
-235.0,-466.0
456.0,-737.0
399.0,-741.0
259.0,-802.0
403.0,-741.0
368.0,-1087.0
476.0,-1221.0
473.0,-1226.0
476.0,-1227.0
602.0,247.0
339.0,-1184.0
450.0,-932.0
348.0,-850.0
409.0,-724.0
409.0,143.0
322.0,348.0
395.0,-1048.0
352.0,-1116.0
457.0,-1111.0
562.0,149.0
377.0,-1219.0
400.0,-830.0
429.0,-787.0
469.0,-968.0
419.0,-834.0
354.0,-806.0
394.0,-746.0
409.0,-744.0
388.0,-773.0
407.0,-743.0
400.0,-1053.0
194.0,-991.0
291.0,-1110.0
331.0,-967.0
305.0,-912.0
336.0,-1122.0
412.0,-876.0
386.0,-905.0
475.0,-1222.0
390.0,-765.0
398.0,-752.0
479.0,-1223.0
429.0,-729.0
520.0,76.0
375.0,-775.0
429.0,-789.0
408.0,-741.0
409.0,-741.0
327.0,-973.0
389.0,-771.0
390.0,-769.0
428.0,-709.0
393.0,-1111.0
401.0,-744.0
418.0,-731.0
339.0,-840.0
397.0,-776.0
401.0,-831.0
297.0,-952.0
269.0,-801.0
403.0,-745.0
344.0,-1185.0
349.0,-824.0
262.0,-801.0
386.0,-902.0
302.0,-817.0
322.0,-808.0
359.0,-850.0
336.0,-844.0
323.0,-869.0
449.0,-935.0
446.0,-932.0
477.0,-1221.0
412.0,-772.0
406.0,-743.0
408.0,-742.0
-62.0,1068.0
411.0,-753.0
436.0,-848.0
411.0,-1048.0
347.0,-923.0
388.0,-1212.0
506.0,31.0
413.0,-813.0
360.0,-1150.0
475.0,-1161.0
448.0,-856.0
373.0,-875.0
360.0,-868.0
397.0,-751.0
335.0,-1171.0
454.0,-1228.0
408.0,-1242.0
338.0,-1178.0
344.0,-1186.0
408.0,-967.0
297.0,-915.0
261.0,-802.0
414.0,-729.0
339.0,-845.0
409.0,-738.0
332.0,-800.0
335.0,-1177.0
340.0,-1182.0
377.0,-1218.0
344.0,-1197.0
469.0,-1174.0
423.0,-830.0
395.0,-769.0
354.0,-826.0
415.0,-871.0
438.0,-888.0
338.0,-812.0
-340.0,-535.0
339.0,-1178.0
332.0,-966.0
334.0,-1126.0
447.0,-931.0
416.0,-905.0
422.0,-883.0
413.0,-960.0
515.0,-10.0
427.0,-834.0
484.0,-1234.0
262.0,-977.0
363.0,-941.0
363.0,-1193.0
433.0,-728.0
430.0,-761.0
409.0,-739.0
330.0,-1173.0
475.0,-1220.0
440.0,-925.0
381.0,-979.0
429.0,-713.0
436.0,-723.0
437.0,-703.0
399.0,329.0
423.0,-716.0
387.0,-91.0
420.0,-881.0
407.0,-896.0
315.0,-1103.0
337.0,-1179.0
338.0,-1120.0
417.0,-863.0
408.0,-736.0
278.0,-826.0
289.0,-813.0
441.0,-1231.0
380.0,-918.0
361.0,-798.0
258.0,-801.0
449.0,-934.0
534.0,-26.0
418.0,-861.0
432.0,-940.0
473.0,76.0
414.0,-841.0
356.0,-808.0
412.0,-1120.0
407.0,-745.0
340.0,-845.0
383.0,-775.0
384.0,-824.0
262.0,-803.0
403.0,-740.0
443.0,-884.0
402.0,-753.0
420.0,-877.0
400.0,-757.0
431.0,-894.0
85.0,-808.0
410.0,290.0
388.0,-1048.0
85.0,769.0
362.0,-799.0
379.0,-1221.0
341.0,-1161.0
376.0,-1210.0
372.0,-814.0
449.0,-930.0
376.0,-774.0
302.0,-920.0
448.0,-933.0
344.0,-775.0
430.0,-880.0
433.0,-882.0
341.0,-843.0
430.0,-857.0
426.0,-832.0
427.0,-846.0
423.0,-837.0
257.0,-1003.0
521.0,53.0
452.0,-1231.0
361.0,-866.0
396.0,-1048.0
340.0,-1175.0
422.0,-710.0
394.0,-32.0
390.0,-947.0
361.0,-802.0
488.0,92.0
524.0,49.0
412.0,-814.0
354.0,-944.0
422.0,-713.0
432.0,-891.0
430.0,-881.0
404.0,-1118.0
449.0,-1230.0
390.0,-945.0
406.0,-913.0
458.0,-1085.0
334.0,-1176.0
411.0,-815.0
422.0,-836.0
340.0,-1177.0
454.0,-1226.0
478.0,-1222.0
338.0,-1180.0
339.0,-847.0
296.0,-982.0
341.0,-1180.0
270.0,-821.0
394.0,-843.0
406.0,-1051.0
353.0,-1067.0
387.0,-784.0
449.0,-937.0
427.0,-845.0
275.0,-826.0
260.0,-976.0
300.0,-953.0
404.0,-1047.0
388.0,-776.0
421.0,-760.0
676.0,337.0
536.0,97.0
358.0,-790.0
342.0,-1185.0
406.0,-1119.0
430.0,-749.0
421.0,-792.0
390.0,-774.0
394.0,-765.0
343.0,-1100.0
302.0,-877.0
392.0,-768.0
337.0,-1163.0
355.0,-1099.0
531.0,-24.0
374.0,-1219.0
482.0,164.0
406.0,-894.0
424.0,-714.0
421.0,-712.0
318.0,-1065.0
407.0,-752.0
336.0,-1124.0
373.0,-801.0
407.0,-741.0
295.0,-985.0
436.0,-730.0
363.0,-763.0
336.0,-1019.0
418.0,-725.0
510.0,-1141.0
406.0,-1115.0
418.0,-882.0
414.0,-743.0
456.0,-1179.0
341.0,-1178.0
328.0,-969.0
14.0,1038.0
392.0,-966.0
419.0,-881.0
423.0,-856.0
380.0,-1225.0
395.0,-750.0
279.0,-823.0
448.0,-694.0
411.0,-735.0
294.0,-985.0
404.0,-744.0
439.0,-912.0
415.0,-817.0
355.0,-975.0
327.0,-1146.0
435.0,-805.0
371.0,-1136.0
350.0,-971.0
425.0,-709.0
426.0,-707.0
303.0,-814.0
415.0,-906.0
390.0,-846.0
430.0,-789.0
395.0,-858.0
338.0,-967.0
411.0,-806.0
391.0,-766.0
416.0,-836.0
411.0,-819.0
421.0,-880.0
415.0,-818.0
607.0,-1513.0
337.0,-1172.0
363.0,-1198.0
-62.0,1066.0
390.0,-771.0
409.0,-749.0
358.0,-786.0
456.0,-942.0
341.0,-849.0
356.0,-774.0
408.0,-735.0
411.0,-851.0
338.0,-847.0
326.0,-969.0
296.0,-983.0
330.0,-967.0
331.0,-969.0
418.0,-727.0
379.0,-1223.0
398.0,-842.0
342.0,-1184.0
599.0,107.0
334.0,-868.0
427.0,-737.0
340.0,-846.0
414.0,-817.0
436.0,-842.0
426.0,-845.0
425.0,-835.0
349.0,-1118.0
472.0,-1223.0
426.0,-714.0
406.0,-754.0
470.0,-1239.0
305.0,-977.0
431.0,-927.0
326.0,-836.0
438.0,-790.0
400.0,-869.0
353.0,-1189.0
394.0,-774.0
408.0,-745.0
405.0,-890.0
423.0,-718.0
328.0,-799.0
-3.0,365.0
383.0,-858.0
426.0,-829.0
407.0,-735.0
435.0,-967.0
281.0,-828.0
399.0,-1050.0
479.0,-1220.0
416.0,-937.0
336.0,-866.0
410.0,-769.0
418.0,-739.0
398.0,-751.0
367.0,-1198.0
446.0,-931.0
431.0,-884.0
468.0,-921.0
398.0,-772.0
388.0,-907.0
251.0,1216.0
422.0,-1227.0
409.0,-740.0
432.0,-776.0
305.0,-879.0
403.0,-1117.0
470.0,-1229.0
413.0,-961.0
359.0,-869.0
383.0,-901.0
283.0,-807.0
398.0,-840.0
352.0,1291.0
373.0,1270.0
338.0,-1184.0
367.0,-1206.0
362.0,-960.0
321.0,-811.0
280.0,-819.0
448.0,-932.0
372.0,-933.0
259.0,-803.0
286.0,-817.0
369.0,-760.0
410.0,-760.0
402.0,-749.0
398.0,-1050.0
396.0,-1066.0
336.0,-843.0
411.0,-741.0
311.0,-973.0
359.0,-1063.0
364.0,-1092.0
358.0,-785.0
444.0,-720.0
446.0,-809.0
441.0,-795.0
416.0,-835.0
365.0,-62.0
429.0,-879.0
297.0,-953.0
410.0,-736.0
407.0,-732.0
397.0,-1048.0
380.0,-1218.0
338.0,-843.0
320.0,-1108.0
355.0,-1087.0
276.0,-803.0
407.0,-739.0
208.0,-1563.0
286.0,-813.0
404.0,-1117.0
379.0,-1220.0
470.0,-886.0
449.0,-933.0
431.0,-881.0
430.0,-841.0
327.0,-1170.0
419.0,-726.0
397.0,-1065.0
361.0,-867.0
207.0,-1033.0
213.0,-1581.0
213.0,-1579.0
399.0,-753.0
350.0,-1204.0
306.0,-873.0
295.0,-950.0
422.0,-734.0
406.0,-737.0
414.0,-735.0
386.0,-904.0
347.0,-828.0
372.0,-1076.0
437.0,-945.0
424.0,-880.0
602.0,249.0
428.0,-832.0
404.0,-1055.0
416.0,-879.0
408.0,-738.0
199.0,-1557.0
379.0,-1225.0
395.0,-1050.0
402.0,-1051.0
390.0,-768.0
430.0,-760.0
431.0,-756.0
433.0,-20.0
410.0,-737.0
190.0,729.0
416.0,-882.0
395.0,-1198.0
430.0,-779.0
430.0,-786.0
330.0,-968.0
301.0,-952.0
313.0,-947.0
413.0,-812.0
358.0,-836.0
350.0,-924.0
405.0,-798.0
427.0,-738.0
343.0,-1193.0
374.0,-1222.0
367.0,-1103.0
298.0,-961.0
416.0,-875.0
346.0,-1181.0
366.0,-1195.0
408.0,-737.0
359.0,-791.0
396.0,-1050.0
301.0,-954.0
273.0,-825.0
332.0,-971.0
326.0,-1147.0
388.0,-751.0
396.0,-1195.0
335.0,-1123.0
301.0,-819.0
406.0,-741.0
286.0,-814.0
347.0,-1120.0
406.0,-736.0
415.0,-999.0
423.0,-878.0
405.0,-745.0
344.0,-1192.0
568.0,606.0
185.0,-699.0
441.0,-1213.0
-334.0,-706.0
493.0,-1228.0
405.0,-1119.0
401.0,-1050.0
355.0,-792.0
440.0,-885.0
452.0,-936.0
341.0,-1177.0
400.0,-767.0
281.0,-806.0
428.0,-739.0
394.0,-846.0
340.0,-812.0
334.0,-841.0
417.0,-883.0
347.0,-1182.0
389.0,-948.0
483.0,-1024.0
335.0,-820.0
436.0,-839.0
387.0,-765.0
411.0,-738.0
383.0,-1223.0
393.0,-1037.0
437.0,-974.0
324.0,-1112.0
435.0,-1108.0
450.0,-936.0
384.0,-756.0
409.0,-731.0
407.0,-737.0
389.0,-772.0
417.0,-836.0
418.0,-836.0
376.0,-1225.0
475.0,190.0
471.0,154.0
399.0,-858.0
451.0,-931.0
332.0,-876.0
397.0,-757.0
409.0,-722.0
420.0,-916.0
400.0,-755.0
305.0,-978.0
330.0,-969.0
-236.0,-469.0
516.0,-0.0
413.0,-818.0
279.0,-828.0
286.0,-824.0
426.0,-834.0
253.0,553.0
401.0,-883.0
342.0,-1169.0
296.0,-812.0
453.0,-936.0
364.0,-942.0
448.0,-688.0
408.0,-733.0
377.0,-1131.0
267.0,-801.0
337.0,-1162.0
394.0,-744.0
266.0,-819.0
405.0,-751.0
483.0,143.0
380.0,-1219.0
414.0,-720.0
396.0,-800.0
409.0,-895.0
341.0,-841.0
339.0,-1170.0
394.0,-844.0
403.0,-795.0
483.0,-1226.0
418.0,-714.0
350.0,-1050.0
404.0,-801.0
423.0,-714.0
194.0,728.0
382.0,-1215.0
324.0,-997.0
406.0,-744.0
374.0,-791.0
418.0,-880.0
-345.0,-585.0
345.0,-1125.0
324.0,-1110.0
488.0,115.0
630.0,216.0
388.0,-761.0
257.0,-1004.0
390.0,-952.0
479.0,-1221.0
408.0,-730.0
146.0,1210.0
335.0,-868.0
261.0,-818.0
390.0,-946.0
382.0,-1226.0
357.0,-813.0
357.0,1396.0
377.0,-1224.0
377.0,-1225.0
311.0,-977.0
387.0,-904.0
302.0,-955.0
358.0,-788.0
418.0,-723.0
415.0,21.0
-339.0,1512.0
403.0,-743.0
390.0,-902.0
351.0,-789.0
336.0,-1117.0
213.0,-1578.0
337.0,-1171.0
398.0,-1051.0
340.0,-1180.0
415.0,-815.0
348.0,-922.0
421.0,-727.0
377.0,-1214.0
612.0,-1499.0
410.0,-743.0
443.0,-940.0
352.0,-1018.0
343.0,-1186.0
388.0,-772.0
358.0,-869.0
378.0,-1213.0
343.0,-1188.0
341.0,-880.0
424.0,-765.0
415.0,-735.0
296.0,-956.0
378.0,-1222.0
246.0,-818.0
286.0,-816.0
340.0,-810.0
256.0,-803.0
402.0,-1117.0
380.0,237.0
423.0,-713.0
385.0,-904.0
340.0,-840.0
411.0,-734.0
387.0,-1211.0
408.0,-814.0
373.0,-807.0
425.0,-831.0
401.0,-1052.0
431.0,-879.0
648.0,-1473.0
422.0,-880.0
437.0,-1144.0
396.0,-1065.0
402.0,-756.0
427.0,-831.0
411.0,-739.0
261.0,-804.0
380.0,-845.0
372.0,-1220.0
425.0,-924.0
356.0,-1177.0
411.0,-962.0
401.0,-755.0
328.0,-1117.0
428.0,-786.0
338.0,-846.0
422.0,-707.0
424.0,-712.0
389.0,-774.0
403.0,-744.0
431.0,-790.0
384.0,-1220.0
553.0,-1316.0
380.0,-785.0
477.0,-1223.0
507.0,-1203.0
387.0,-1210.0
407.0,-1119.0
419.0,-931.0
340.0,-834.0
322.0,-1110.0
398.0,-1052.0
339.0,-1183.0
390.0,-773.0
429.0,-911.0
405.0,-743.0
417.0,-915.0
312.0,-921.0
336.0,-1172.0
501.0,-1230.0
341.0,-1173.0
416.0,-731.0
380.0,-1202.0
404.0,-747.0
364.0,-758.0
413.0,-729.0
423.0,-891.0
377.0,-892.0
404.0,-958.0
397.0,-755.0
406.0,-755.0
344.0,-1195.0
420.0,-917.0
400.0,-1052.0
299.0,-979.0
405.0,-746.0
443.0,-968.0
332.0,-968.0
492.0,-4.0
369.0,-763.0
533.0,60.0
323.0,-1068.0
340.0,-844.0
214.0,398.0
426.0,-709.0
431.0,-753.0
414.0,-839.0
430.0,-824.0
432.0,-856.0
307.0,-979.0
504.0,305.0
366.0,-1219.0
411.0,-755.0
420.0,-771.0
357.0,-975.0
423.0,-835.0
340.0,-1188.0
413.0,-735.0
411.0,-733.0
423.0,-884.0
390.0,-923.0
370.0,-1220.0
523.0,-12.0
407.0,-801.0
362.0,-789.0
-236.0,-466.0
518.0,-3.0
411.0,-740.0
337.0,-840.0
349.0,-822.0
401.0,-749.0
273.0,-804.0
495.0,-26.0
410.0,-1117.0
421.0,-709.0
513.0,67.0
419.0,-880.0
-142.0,-519.0
379.0,-1222.0
417.0,-878.0
311.0,1214.0
535.0,-1135.0
347.0,-823.0
438.0,-793.0
262.0,-804.0
381.0,-974.0
440.0,-721.0
332.0,-1172.0
449.0,-926.0
406.0,-762.0
639.0,-222.0
414.0,-884.0
410.0,-740.0
401.0,-770.0
391.0,-944.0
422.0,-717.0
416.0,-742.0
342.0,-1181.0
335.0,-972.0
417.0,-865.0
411.0,-769.0
215.0,-1580.0
331.0,-1172.0
185.0,-661.0
314.0,-974.0
521.0,-1066.0
282.0,-816.0
400.0,-756.0
409.0,-734.0
426.0,-831.0
406.0,-746.0
402.0,-854.0
478.0,-1223.0
354.0,-971.0
424.0,-835.0
404.0,-746.0
355.0,-866.0
377.0,-971.0
-231.0,-480.0
456.0,-739.0
403.0,-800.0
427.0,-878.0
342.0,-1182.0
398.0,-776.0
297.0,-823.0
206.0,-1035.0
408.0,-729.0
370.0,-1201.0
417.0,-937.0
341.0,-1186.0
388.0,-905.0
330.0,-1115.0
382.0,-1220.0
263.0,-801.0
417.0,-702.0
432.0,-837.0
360.0,-800.0
400.0,-764.0
402.0,-763.0
391.0,-767.0
467.0,-947.0
329.0,-973.0
410.0,-738.0
299.0,-939.0
473.0,-1222.0
336.0,-1176.0
416.0,-938.0
445.0,-731.0
401.0,-764.0
360.0,-785.0
453.0,-661.0
416.0,-720.0
328.0,-972.0
-339.0,184.0
416.0,-710.0
475.0,-1226.0
384.0,-774.0
335.0,-1120.0
310.0,349.0
387.0,-1218.0
425.0,-732.0
371.0,-1217.0
357.0,-1082.0
192.0,-991.0
389.0,-1200.0
301.0,-941.0
405.0,-795.0
426.0,-835.0
259.0,-975.0
420.0,-883.0
345.0,-1182.0
339.0,-1180.0
31.0,1017.0
102.0,-613.0
418.0,-879.0
425.0,-715.0
440.0,-1170.0
300.0,-952.0
404.0,-743.0
477.0,-1171.0
448.0,-930.0
447.0,-932.0
407.0,-731.0
394.0,-1049.0
330.0,-1114.0
401.0,-752.0
326.0,-855.0
560.0,-32.0
-51.0,1194.0
301.0,-980.0
397.0,-767.0
412.0,-812.0
388.0,-1230.0
304.0,-976.0
557.0,376.0
505.0,305.0
432.0,-862.0
437.0,-704.0
413.0,-739.0
427.0,-830.0
373.0,-1086.0
422.0,-881.0
417.0,-727.0
431.0,-748.0
400.0,-763.0
328.0,-966.0
418.0,-878.0
-237.0,-466.0
277.0,-824.0
430.0,-715.0
402.0,-740.0
335.0,-842.0
341.0,-1176.0
404.0,-742.0
400.0,-753.0
414.0,-740.0
481.0,158.0
425.0,-832.0
299.0,-977.0
419.0,-883.0
199.0,994.0
-203.0,-403.0
425.0,-718.0
209.0,-1567.0
344.0,-1189.0
425.0,-834.0
410.0,-752.0
399.0,-749.0
352.0,-974.0
403.0,-769.0
420.0,-728.0
419.0,-713.0
280.0,-806.0
412.0,-960.0
474.0,7.0
439.0,-760.0
412.0,-759.0
424.0,-879.0
432.0,-881.0
423.0,-852.0
374.0,-60.0
475.0,-1223.0
429.0,-836.0
416.0,-867.0
358.0,-840.0
417.0,-877.0
446.0,-1233.0
396.0,-743.0
403.0,-866.0
398.0,-864.0
376.0,-934.0
408.0,-779.0
391.0,-782.0
284.0,-815.0
399.0,-820.0
432.0,-880.0
459.0,-954.0
519.0,45.0
412.0,-770.0
345.0,-1172.0
421.0,-759.0
347.0,-1201.0
352.0,-795.0
357.0,-789.0
422.0,-844.0
379.0,-1216.0
278.0,-974.0
261.0,-803.0
275.0,-814.0
311.0,-978.0
263.0,-802.0
341.0,-845.0
391.0,-771.0
334.0,-1122.0
480.0,-1221.0
335.0,-1121.0
392.0,-747.0
342.0,-845.0
318.0,-1024.0
407.0,-733.0
395.0,-766.0
466.0,-1205.0
460.0,-915.0
444.0,-738.0
455.0,92.0
414.0,-731.0
425.0,-717.0
337.0,-1184.0
450.0,-934.0
450.0,-935.0
426.0,181.0
412.0,-741.0
390.0,-847.0
404.0,-741.0
373.0,-895.0
389.0,-773.0
337.0,-1177.0
384.0,-1224.0
343.0,-1184.0
377.0,-843.0
-69.0,1076.0
380.0,-1223.0
325.0,-970.0
326.0,-968.0
405.0,-744.0
350.0,1358.0
558.0,376.0
522.0,1.0
348.0,-877.0
338.0,-1172.0
470.0,-1238.0
393.0,-846.0
397.0,-842.0
293.0,-811.0
495.0,110.0
593.0,181.0
383.0,-1225.0
407.0,-744.0
432.0,-715.0
23.0,1118.0
355.0,-813.0
406.0,-745.0
402.0,-752.0
336.0,-1146.0
412.0,-740.0
370.0,-763.0
328.0,-1097.0
392.0,-766.0
396.0,-742.0
404.0,-745.0
409.0,-814.0
390.0,-985.0
397.0,-754.0
391.0,-748.0
-63.0,1067.0
-81.0,1119.0
414.0,-733.0
337.0,-1121.0
402.0,-748.0
-62.0,1069.0
357.0,-805.0
392.0,-773.0
400.0,-751.0
445.0,-732.0
401.0,-741.0
446.0,-636.0
258.0,-804.0
429.0,-858.0
339.0,-786.0
397.0,-1051.0
-63.0,1068.0
462.0,-746.0
473.0,-1224.0
448.0,-935.0
420.0,-936.0
413.0,-844.0
431.0,-882.0
329.0,-967.0
406.0,-1224.0
524.0,131.0
447.0,-929.0
420.0,-887.0
-78.0,1104.0
397.0,-775.0
362.0,-855.0
341.0,-838.0
409.0,-737.0
492.0,-21.0
347.0,1355.0
421.0,-801.0
408.0,-739.0
386.0,-901.0
351.0,-770.0
389.0,-766.0
417.0,-739.0
388.0,-774.0
356.0,-825.0
351.0,-809.0
399.0,-742.0
-62.0,1071.0
209.0,-1007.0
422.0,-715.0
403.0,-751.0
342.0,-1186.0
398.0,-858.0
403.0,-802.0
442.0,-691.0
396.0,-861.0
326.0,-971.0
329.0,-970.0
454.0,-930.0
331.0,-975.0
293.0,-948.0
391.0,-772.0
339.0,-783.0
406.0,-738.0
472.0,-1217.0
436.0,-1164.0
286.0,-811.0
288.0,-813.0
421.0,-879.0
414.0,-824.0
357.0,-786.0
404.0,-1119.0
455.0,-1229.0
422.0,-716.0
411.0,-879.0
401.0,-1049.0
477.0,-1222.0
370.0,-764.0
34.0,1176.0
453.0,-934.0
427.0,-788.0
341.0,-1172.0
398.0,-897.0
338.0,-839.0
445.0,-699.0
360.0,-757.0
323.0,-902.0
423.0,-832.0
282.0,-813.0
424.0,-834.0
268.0,-801.0
265.0,-801.0
427.0,-739.0
440.0,-905.0
327.0,-1160.0
416.0,-734.0
407.0,-734.0
384.0,-1047.0
383.0,-1227.0
-73.0,1127.0
307.0,-949.0
424.0,-710.0
554.0,128.0
401.0,-829.0
36.0,987.0
401.0,-751.0
391.0,-847.0
398.0,-863.0
393.0,-765.0
525.0,-19.0
426.0,-830.0
324.0,-949.0
362.0,-865.0
360.0,-942.0
329.0,-965.0
360.0,-1152.0
350.0,-850.0
342.0,-1172.0
526.0,-11.0
457.0,-1106.0
428.0,-712.0
380.0,-1220.0
223.0,1142.0
454.0,-757.0
477.0,-1172.0
480.0,378.0
422.0,-709.0
391.0,-776.0
362.0,-941.0
413.0,21.0
421.0,-877.0
425.0,-710.0
436.0,-966.0
361.0,-873.0
452.0,-932.0
271.0,-814.0
396.0,-758.0
464.0,-638.0
410.0,-745.0
335.0,-1178.0
422.0,-714.0
420.0,-712.0
379.0,-1217.0
394.0,-845.0
425.0,-890.0
422.0,-834.0
395.0,-780.0
295.0,-903.0
373.0,-767.0
392.0,-755.0
410.0,-721.0
424.0,-829.0
384.0,-752.0
414.0,22.0
479.0,-1222.0
349.0,-810.0
436.0,-898.0
361.0,-971.0
446.0,107.0
330.0,-971.0
400.0,-742.0
412.0,-731.0
375.0,1267.0
340.0,-1178.0
427.0,-777.0
359.0,-778.0
287.0,-813.0
414.0,-736.0
423.0,-834.0
-340.0,184.0
340.0,-843.0
420.0,-879.0
391.0,-947.0
470.0,-712.0
396.0,-788.0
328.0,-1172.0
351.0,-898.0
410.0,-720.0
342.0,-841.0
385.0,-1225.0
196.0,-1560.0
459.0,-897.0
477.0,-1174.0
344.0,-1105.0
414.0,-715.0
396.0,-1064.0
399.0,-751.0
431.0,-708.0
412.0,-748.0
306.0,-963.0
409.0,-747.0
373.0,-799.0
313.0,-1095.0
418.0,-704.0
425.0,-712.0
421.0,-710.0
288.0,-970.0
352.0,-898.0
346.0,-1201.0
-226.0,-474.0
394.0,-778.0
400.0,-754.0
401.0,-743.0
525.0,134.0
345.0,-931.0
326.0,-1171.0
27.0,1019.0
451.0,-932.0
406.0,-747.0
342.0,-920.0
404.0,-755.0
426.0,-861.0
402.0,-831.0
515.0,-4.0
448.0,106.0
421.0,-721.0
