state,action0,action1,action2
5bac5,34,33,33
5c344,38,24,38
5d389,32,34,34
5e74c,33,34,33
5ec1a,34,33,33
5ef65,34,33,33
5ef6f,35,31,34
5f128,34,33,33
61e04,34,33,33
620c9,34,33,33
621cb,34,33,33
62bfa,34,32,34
62c48,32,35,34
62e66,33,34,33
62f77,34,33,33
63606,34,33,33
6495d,34,32,33
64d94,32,34,34
65577,34,33,33
65947,34,33,33
6629d,34,33,33
665cb,34,33,33
66a7a,40,23,37
67190,33,34,33
680f6,34,32,34
6815f,38,36,26
684fe,34,33,33
68519,34,33,33
68c6c,34,33,33
68e1e,34,33,33
68f10,33,34,33
68fcd,39,35,27
6953c,32,35,33
6a979,34,33,33
6abb9,34,33,33
6affd,32,34,34
6b3c2,32,34,34
6b51d,34,33,33
6bd44,32,35,34
6c658,34,32,34
6cc6e,33,34,33
6cd5b,34,33,33
6d056,35,33,32
6d094,34,32,33
6d0ae,36,32,32
6d260,34,33,33
6d6e1,34,33,33
6db6e,32,34,34
6dd6d,34,33,33
6e400,34,33,33
6e457,34,33,33
6e8d1,34,33,33
6ea2f,33,34,33
6ee1f,34,33,33
6f4b6,34,33,33
6fb47,34,33,33
6fd9a,35,30,35
6fdd9,34,33,32
6fef3,32,34,33
709df,34,33,33
70c76,34,33,33
70e8d,33,34,33
71047,34,33,33
714e6,34,33,33
71812,31,35,34
7182d,35,32,33
71ee4,31,35,34
72440,39,39,22
72805,34,34,33
72dbc,33,34,33
73475,33,34,33
736e5,33,35,32
74332,34,33,33
747ad,32,34,34
74806,33,34,34
74bb0,28,36,36
7559c,34,33,33
757b6,36,33,31
7595d,34,33,33
75992,33,34,33
76422,34,32,33
769e8,35,33,33
76ba6,36,35,29
777ab,34,33,33
785f3,34,33,33
7880b,34,33,33
79373,34,33,33
793a8,34,33,33
793de,34,33,33
79d6e,35,39,25
79e8c,34,33,33
7a84a,31,35,34
7a99d,34,33,33
7a9b1,34,32,34
7ac25,34,33,33
7c1c2,34,33,33
7cb67,34,34,32
7d717,33,34,33
7db67,34,32,33
7deef,33,36,32
7f225,34,33,33
7fc81,34,33,33
80124,35,32,34
802b9,34,33,33
8032b,34,33,33
8111e,34,33,33
814bb,32,34,34
814fd,36,31,33
81b8a,33,34,33
81def,34,33,33
81f27,34,34,33
82416,33,34,33
82555,34,33,33
82c01,34,33,33
833cd,33,34,33
835cc,33,34,33
835d5,32,34,34
83eaf,34,33,33
84a50,34,33,33
8527a,34,33,33
85a0c,35,31,33
85c7f,34,33,33
86573,34,33,33
86986,34,33,33
8698d,35,31,34
86d08,36,35,29
86e50,33,34,33
87226,34,33,33
873bd,33,34,33
87e50,32,34,33
8835f,34,33,33
88b54,34,33,33
8a376,35,31,34
8b013,33,34,33
8b0ae,32,35,33
8b7a6,34,34,33
8b7fb,34,33,33
8b80f,34,33,33
8bd9c,34,32,34
8c004,34,32,34
8c454,34,33,33
8c93c,34,33,33
8c9a0,34,33,33
8e28c,32,36,32
8e4e9,34,33,33
8e71b,32,34,33
8ecb5,34,33,33
8ef53,34,33,33
8efbb,33,35,32
8f87e,34,33,33
8f97d,34,33,33
90bbc,34,33,33
914c9,34,33,33
9168e,34,33,33
92128,33,34,33
9284d,34,33,33
929f0,34,33,33
92a6a,34,33,33
938db,35,33,32
93c37,34,33,33
93f9c,34,33,33
94f86,34,33,33
9512d,34,33,33
95279,34,33,33
95fc6,36,34,30
96061,34,34,32
96382,34,34,33
967ae,32,34,33
96b02,34,33,33
96da3,34,33,33
973d9,34,34,33
97468,35,32,33
98144,34,33,33
98f1f,35,31,34
98f3a,34,33,33
998ba,34,33,33
99a0b,34,33,33
9a0d4,34,33,33
9a72c,34,33,33
9b09d,33,34,33
9b21b,33,34,33
9b517,37,33,30
9b6c1,34,33,33
9b871,34,33,33
9baed,32,34,34
9c499,34,33,33
9d9f3,34,32,34
9e3b6,34,33,33
9e468,35,31,34
9e6a7,32,35,34
9e910,34,33,33
9ea3f,34,33,33
9eb2d,32,34,34
9f006,33,34,33
9f1f9,34,33,33
9f273,34,33,33
9fbb5,34,34,33
a0119,34,33,33
a073f,34,33,33
a0a53,34,33,33
a0b53,34,32,34
a1428,34,33,33
a15fa,32,35,34
a1832,35,33,33
a1dc2,34,32,33
a1e81,34,33,33
a2b00,34,33,33
a2cc7,34,33,33
a3513,38,33,30
a41b6,34,33,33
a42e8,34,34,33
a4323,34,33,33
a46e3,34,33,33
a4786,34,33,33
a665a,35,31,34
a68b4,34,33,33
a6c2a,34,32,33
a6d40,34,33,33
a7353,36,33,31
a8004,35,32,33
a8302,34,32,34
a8443,34,33,33
a860d,34,33,33
a8caa,34,33,33
a8cee,40,42,18
a8fd7,34,33,33
a9161,34,33,33
a9346,34,33,33
a953f,35,32,33
aa13f,34,33,33
aa820,34,33,33
aaee0,36,30,34
aaf01,34,33,33
ac93f,33,34,33
acff5,34,33,33
ad8fa,34,33,33
aedec,34,34,32
aee48,34,32,33
afbfb,34,33,33
b027f,33,34,33
b1556,35,31,34
b22eb,34,33,33
b24e3,35,32,33
b312d,33,34,33
b3152,34,33,33
b3396,34,34,32
b366c,34,33,33
b3dfd,34,33,33
b471a,34,33,33
b543b,35,32,33
b5a9e,35,33,33
b6953,32,35,33
b6b1b,34,33,33
b6cb2,34,33,33
b7c74,38,26,37
b7e30,35,30,34
b8aed,34,33,33
ba689,34,33,33
baa8a,33,34,33
bae9a,33,34,33
bba58,34,32,33
bbb96,35,30,34
bce35,34,33,33
be172,35,32,33
bf0a6,34,33,32
bfa76,31,41,28
c0509,34,33,33
c0aa4,34,33,33
c0d2d,34,33,33
c17ed,34,33,33
c2356,34,33,33
c24cf,33,34,33
c2847,31,35,34
c2a18,34,33,33
c344f,34,33,33
c47af,34,33,33
c4b6f,34,33,33
c60e2,37,39,24
c62ce,35,33,32
c66bb,34,33,33
c66f1,34,32,33
c6f3a,31,35,34
c8c81,35,33,33
c8f56,33,34,33
c91bc,34,32,33
ca05b,32,34,33
cc6bb,33,34,33
cca40,33,34,33
ccbcd,34,33,33
ccc67,34,33,33
ce63e,35,32,33
cf5df,35,35,30
d029f,34,33,33
d0c9e,34,33,33
d15e7,34,33,33
d18b2,34,33,33
d26ea,32,34,34
d2f48,34,33,33
d359f,34,33,33
d4053,31,35,34
d40fb,36,32,32
d42ed,33,34,33
d4679,34,33,33
d48ff,34,33,33
d4e33,35,32,33
d4ee9,34,34,33
d50d8,33,34,33
d5b14,34,33,33
d6e5a,34,33,33
d6f0c,34,33,33
d74fe,35,34,31
d83c7,36,31,33
d874e,34,33,33
d9521,34,33,33
da287,34,33,33
da4d4,32,35,33
da4ea,34,33,33
da957,34,33,33
daab3,35,35,30
db652,34,33,33
db935,34,33,33
dbaf8,34,33,33
dbb1d,33,34,33
dccb3,34,37,29
dcdc2,32,34,34
dd494,34,33,33
ddb36,34,33,33
de3d4,35,32,34
df486,34,33,33
df56b,34,33,33
df979,37,27,36
dff17,35,33,32
e0850,31,35,34
e1335,34,34,32
e1fee,34,33,33
e29c9,38,26,37
e2fa8,34,33,33
e38ab,33,34,33
e39ee,33,34,33
e3d6c,34,33,33
e4e54,30,35,34
e52d0,34,33,33
e62e4,36,29,35
e7866,34,33,33
e8026,34,34,33
e81d4,34,33,33
e830a,34,33,33
e8490,34,33,33
ea415,34,33,33
eaa19,34,34,31
eb1e3,34,33,33
eb3be,34,33,33
eb432,34,33,33
eb624,34,33,34
ec1c7,34,33,33
ec54e,34,33,33
ed823,34,33,33
ed909,34,34,32
ee0d6,34,33,33
ee1a7,34,33,33
ee9d5,34,33,33
ef0d2,34,33,33
ef4cf,34,32,34
f0cbb,32,34,33
f0d58,35,31,34
f10d9,34,33,33
f11a7,34,33,33
f1250,33,34,33
f2ade,34,33,33
f3282,34,34,32
f391e,32,34,34
f4466,34,33,32
f44b7,33,34,33
f513a,34,33,33
f65cc,34,33,33
f7d96,34,33,33
f7ec2,36,31,34
f8046,39,22,38
f8726,33,34,33
f898c,34,33,33
f8b72,34,34,33
fa2b7,35,31,34
fa3cf,34,33,33
fa4dd,34,33,33
fa7ae,32,34,33
fabf5,32,34,33
fb4a3,34,33,32
fb8a0,34,33,33
fbe10,34,33,33
fc47b,35,33,32
fc56d,34,33,33
fc71f,34,33,33
fdb99,34,33,33
fde3f,34,33,33
ff108,34,33,33
