state,action0,action1,action2
dcdc2,0,100,100
dd494,100,0,0
ddb36,100,0,0
de3d4,100,0,0
df486,100,0,0
df56b,100,0,0
df979,100,0,0
dff17,100,0,0
e0850,0,100,0
e1335,100,100,0
e1fee,100,0,0
e29c9,100,0,0
e2fa8,100,0,0
e38ab,0,100,0
e39ee,0,100,0
e3d6c,100,0,0
e4e54,0,100,0
e52d0,100,0,0
e62e4,100,0,0
e7866,100,0,0
e8026,100,100,0
e81d4,100,0,0
e830a,100,0,0
e8490,100,0,0
ea415,100,0,0
eaa19,100,100,0
eb1e3,100,0,0
eb3be,100,0,0
eb432,100,0,0
eb624,100,0,100
ec1c7,100,0,0
ec54e,100,0,0
ed823,100,0,0
ed909,100,100,0
ee0d6,100,0,0
ee1a7,100,0,0
ee9d5,100,0,0
ef0d2,100,0,0
ef4cf,100,0,100
f0cbb,0,100,0
f0d58,100,0,0
f10d9,100,0,0
f11a7,100,0,0
f1250,0,100,0
f2ade,100,0,0
f3282,100,100,0
f391e,0,100,100
f4466,100,0,0
f44b7,0,100,0
f513a,100,0,0
f65cc,100,0,0
f7d96,100,0,0
f7ec2,100,0,0
f8046,100,0,0
f8726,0,100,0
f898c,100,0,0
f8b72,100,100,0
fa2b7,100,0,0
fa3cf,100,0,0
fa4dd,100,0,0
fa7ae,0,100,0
fabf5,0,100,0
fb4a3,100,0,0
fb8a0,100,0,0
fbe10,100,0,0
fc47b,100,0,0
fc56d,100,0,0
fc71f,100,0,0
fdb99,100,0,0
fde3f,100,0,0
ff108,100,0,0
